state,state_name,count_weeks,total,measure_type,measure,measure_ina,measure_n,start_week,end_week,measure_pct,measure_pct_ina,measure_median_pct_march,measure_ppt_diff_after_shutdowns
NJ,New Jersey,4,580954,eth,latinx,54240,124670,2020-03-21,2020-04-11,0.2366939173821087,0.09336367423238329,0.22392032257382416,1
NJ,New Jersey,4,580954,eth,not_latinx,54240,402044,2020-03-21,2020-04-11,0.7633060826178913,0.09336367423238329,0.7538874257205657,1
NJ,New Jersey,4,580954,race,asian,96718,44197,2020-03-21,2020-04-11,0.09127161136305438,0.16648133931430026,0.036802301836426604,5
NJ,New Jersey,4,580954,race,black,96718,69420,2020-03-21,2020-04-11,0.1433598493296657,0.16648133931430026,0.2090451985412427,-7
NJ,New Jersey,4,580954,race,ina,96718,96718,2020-03-21,2020-04-11,0.16648133931430026,0.16648133931430026,0.1475711391095008,2
NJ,New Jersey,4,580954,race,white,96718,370616,2020-03-21,2020-04-11,0.7653623439810341,0.16648133931430026,0.7314408046645227,3
NJ,New Jersey,4,580954,sex,female,0,326194,2020-03-21,2020-04-11,0.5614799106297572,0,0.3846822665185431,18
NJ,New Jersey,4,580954,sex,male,0,254760,2020-03-21,2020-04-11,0.4385200893702427,0,0.6153177334814568,-18
NM,New Mexico,4,127998,age,24_under,0,21360,2020-03-21,2020-04-11,0.1668776074626166,0,0.0836346096985009,8
NM,New Mexico,4,127998,age,25_34,0,36995,2020-03-21,2020-04-11,0.2890279535617744,0,0.2393906535823538,5
NM,New Mexico,4,127998,age,35_44,0,26626,2020-03-21,2020-04-11,0.2080188752949265,0,0.2579007748554234,-5
